index,rdate,rid,hid,class,distance,jname,tname,exweight,bardraw,rating,horseweight,rank,finishm,win_t5,place_t5,ind_win,ind_pla,velocity,straight,width,humidity
110386,2019-10-09,1,1,31.560311284046694,1200,7.9865049385539955,7.889084407035514,133.0,2.0,40.0,1033.0,7,7134.0,45.0,8.9,0,0,1682.085786375105,338,26.5,3.0
110387,2019-10-09,1,2,31.560311284046694,1200,0.0,0.0,133.0,9.0,40.0,1077.0,12,7238.0,12.0,3.4,0,0,1657.9165515335728,338,26.5,3.0
110388,2019-10-09,1,3,31.560311284046694,1200,8.046869510959576,8.454466361507933,131.0,1.0,38.0,1107.0,3,7065.0,2.4,1.2,0,1,1698.5138004246285,338,26.5,3.0
110389,2019-10-09,1,4,31.560311284046694,1200,8.035602692918582,8.740016691519521,129.0,10.0,36.0,1037.0,11,7175.0,30.0,7.1,0,0,1672.4738675958188,338,26.5,3.0
110390,2019-10-09,1,5,31.560311284046694,1200,6.63200177739563,8.417372856134026,129.0,12.0,36.0,1059.0,6,7132.0,44.0,11.0,0,0,1682.5574873808189,338,26.5,3.0
110391,2019-10-09,1,6,31.560311284046694,1200,8.703008637464448,8.262300941787448,127.0,7.0,34.0,1172.0,1,7051.0,4.6,1.6,1,1,1701.8862572684725,338,26.5,3.0
110392,2019-10-09,1,7,31.560311284046694,1200,8.384347278082808,8.363575702750637,126.0,5.0,33.0,987.0,8,7136.0,35.0,7.1,0,0,1681.6143497757848,338,26.5,3.0
110393,2019-10-09,1,8,31.560311284046694,1200,8.478244441277663,8.297294370266917,125.0,3.0,32.0,1042.0,10,7171.0,12.0,2.8,0,0,1673.4067772974481,338,26.5,3.0
110394,2019-10-09,1,9,31.560311284046694,1200,1.6094379124341003,8.744647438317532,123.0,8.0,30.0,1044.0,5,7113.0,60.0,13.0,0,0,1687.051876845213,338,26.5,3.0
110395,2019-10-09,1,10,31.560311284046694,1200,6.655440350367647,8.724207360800564,116.0,6.0,23.0,1056.0,9,7168.0,21.0,4.7,0,0,1674.107142857143,338,26.5,3.0
110396,2019-10-09,1,11,31.560311284046694,1200,8.227375506834035,7.820037989458753,116.0,11.0,23.0,1189.0,4,7092.0,9.4,2.6,0,0,1692.047377326565,338,26.5,3.0
110397,2019-10-09,1,12,31.560311284046694,1200,8.335431477880796,8.558718938244736,113.0,4.0,19.0,1103.0,2,7060.0,6.6,2.3,0,1,1699.7167138810198,338,26.5,3.0
