index,rdate,rid,hid,venue,track,going,course,class,distance,rfinishm,rm1,rm2,rm3,rm4,rm5,rm6,horsenum,jname,tname,exweight,bardraw,gear,rating,ratechg,horseweight,horseweightchg,besttime,age,priority,lastsix,rank,runpos,p1,p2,p3,p4,p5,p6,m1,m2,m3,m4,m5,m6,finishm,d1,d2,d3,d4,d5,d6,datediff,pricemoney,windist,win_t5,win,place_t5,place,ind_win,ind_pla
110386,2019-11-06,1,1,HV,TURF,GOOD,B,Class 4,1200,6925,2349,2229,2347,0,0,0,B010,Z Purton,R Gibson,133,9,B/H/XB/TT,58,-1,1136,+1,1.09.98,6,1,4/4/8/2/3/6,8,10-9-8,10,9,8,0,0,0,2457,2237,2322,0,0,0,7016,6.75,7.25,5.75,0,0,0,28,"HK$ 967,000",5-3/4,6.2,6.4,2.3,2.0,0,0
110387,2019-11-06,1,2,HV,TURF,GOOD,B,Class 4,1200,6925,2349,2229,2347,0,0,0,A251,A Sanna,C Fownes,129,4,P-/H/XB,54,-2,1192,+10,1.10.56,6,+1,9/9/3/6/4/8,6,6-6-6,6,6,6,0,0,0,2425,2229,2344,0,0,0,6998,4.75,4.75,4.5,0,0,0,122,"HK$ 967,000",4-1/2,19.0,19.0,5.5,5.4,0,0
110388,2019-11-06,1,3,HV,TURF,GOOD,B,Class 4,1200,6925,2349,2229,2347,0,0,0,C410,K C Leung,C S Shum,127,2,B1/TT1,52,,1179,,,4,1,,9,5-5-9,5,5,9,0,0,0,2417,2233,2376,0,0,0,7026,4.25,4.5,6.25,0,0,0,,"HK$ 967,000",6-1/4,24.0,18.0,5.7,4.9,0,0
110389,2019-11-06,1,4,HV,TURF,GOOD,B,Class 4,1200,6925,2349,2229,2347,0,0,0,V071,G van Niekerk,D J Whyte,127,7,B/XB,52,+1,1153,-4,1.09.71,8,+1,2/8/9/6/8/8,5,8-8-5,8,8,5,0,0,0,2449,2225,2315,0,0,0,6989,6.25,6.0,4.0,0,0,0,14,"HK$ 967,000",4,5.0,5.8,1.7,1.8,0,0
110390,2019-11-06,1,5,HV,TURF,GOOD,B,Class 4,1200,6925,2349,2229,2347,0,0,0,C469,,,,,,,,,,,,,,0,12-12-,12,12,,0,0,0,2509,2241,,0,0,0,,10.0,10.75,,0,0,0,14,"HK$ 967,000",,13.0,,4.3,0.0,0,0
110391,2019-11-06,1,6,HV,TURF,GOOD,B,Class 4,1200,6925,2349,2229,2347,0,0,0,C455,H W Lai,L Ho,125,12,H,50,-2,1155,+1,,4,1,11/9,7,11-10-7,11,10,7,0,0,0,2489,2229,2295,0,0,0,7013,8.75,8.75,5.5,0,0,0,21,"HK$ 967,000",5-1/2,99.0,99.0,22.0,26.0,0,0
110392,2019-11-06,1,7,HV,TURF,GOOD,B,Class 4,1200,6925,2349,2229,2347,0,0,0,B332,A Badel,A T Millard,125,8,B/TT,50,0,1195,-11,1.09.76,5,*2,5/3/8/10/10/7,4,1-1-4,1,1,4,0,0,0,2349,2229,2411,0,0,0,6989,2.25,1.5,4,0,0,0,21,"HK$ 967,000",4,9.1,11.0,2.9,3.5,0,0
110393,2019-11-06,1,8,HV,TURF,GOOD,B,Class 4,1200,6925,2349,2229,2347,0,0,0,C384,N Callan,Y S Tsui,124,6,B1,49,-2,1166,+8,,4,*2,11/9,11,7-7-11,7,7,11,0,0,0,2433,2237,2408,0,0,0,7078,5.25,5.75,9.5,0,0,0,46,"HK$ 967,000",9-1/2,13.0,13.0,3.6,3.7,0,0
110394,2019-11-06,1,9,HV,TURF,GOOD,B,Class 4,1200,6925,2349,2229,2347,0,0,0,B002,J Moreira,J Size,123,3,PC,48,0,1093,-7,1.09.84,6,2,6/6/9/2/1/5,2,4-4-2,4,4,2,0,0,0,2413,2225,2322,0,0,0,6960,4.0,3.75,2.25,0,0,0,21,"HK$ 967,000",2-1/4,7.6,6.3,2.5,2.1,0,1
110395,2019-11-06,1,10,HV,TURF,GOOD,B,Class 4,1200,6925,2349,2229,2347,0,0,0,C252,C Y Ho,F C Lor,123,5,B/XB/TT,48,-2,1106,-2,1.10.58,4,1,7/9/9/8/2/4,3,3-3-3,3,3,3,0,0,0,2393,2233,2357,0,0,0,6983,2.75,3.0,3.75,0,0,0,14,"HK$ 967,000",3-3/4,19.0,16.0,4.8,4.6,0,1
